,step,total_agents,agents_shopping,agents_dwelling,agents_exiting,agents_completed
433,434,1,1,0,0,99
434,435,1,1,0,0,99
435,436,1,1,0,0,99
436,437,1,1,0,0,99
437,438,1,1,0,0,99
438,439,1,1,0,0,99
439,440,1,1,0,0,99
440,441,1,1,0,0,99
441,442,1,1,0,0,99
442,443,1,1,0,0,99
443,444,1,1,0,0,99
444,445,1,1,0,0,99
445,446,1,0,1,0,99
446,447,1,0,1,0,99
447,448,1,1,0,0,99
448,449,1,0,0,1,99
449,450,1,0,0,1,99
450,451,1,0,0,1,99
451,452,1,0,0,1,99
452,453,1,0,0,1,99
453,454,1,0,0,1,99
454,455,1,0,0,1,99
455,456,1,0,0,1,99
456,457,1,0,0,1,99
457,458,1,0,0,1,99
458,459,1,0,0,1,99
459,460,1,0,0,1,99
460,461,1,0,0,1,99
461,462,1,0,0,1,99
462,463,1,0,0,1,99
463,464,1,0,0,1,99
464,465,1,0,0,1,99
465,466,1,0,0,1,99
466,467,1,0,0,1,99
467,468,1,0,0,1,99
468,469,0,0,0,0,100
