Step,AgentID,agent_id,position,state,products_remaining
37.0,14,14,"(8, 6)",shopping,1
37.0,15,15,"(7, 5)",shopping,2
37.0,16,16,"(6, 4)",shopping,2
37.0,17,17,"(3, 3)",shopping,2
37.0,18,18,"(2, 4)",shopping,1
38.0,2,2,"(30, 6)",shopping,1
38.0,3,3,"(32, 3)",shopping,1
38.0,4,4,"(30, 3)",shopping,1
38.0,5,5,"(28, 3)",shopping,1
38.0,6,6,"(20, 6)",shopping,1
38.0,7,7,"(23, 4)",shopping,1
38.0,8,8,"(21, 4)",shopping,1
38.0,9,9,"(19, 4)",shopping,1
38.0,10,10,"(17, 4)",shopping,1
38.0,11,11,"(16, 5)",shopping,2
38.0,12,12,"(11, 6)",shopping,2
38.0,13,13,"(12, 3)",shopping,2
38.0,14,14,"(9, 6)",shopping,1
38.0,15,15,"(7, 6)",shopping,2
38.0,16,16,"(7, 4)",shopping,2
38.0,17,17,"(4, 3)",shopping,2
38.0,18,18,"(3, 4)",shopping,1
38.0,19,19,"(1, 4)",shopping,2
39.0,2,2,"(31, 6)",shopping,1
39.0,3,3,"(33, 3)",shopping,1
39.0,4,4,"(31, 3)",shopping,1
39.0,5,5,"(29, 3)",shopping,1
39.0,6,6,"(21, 6)",shopping,1
39.0,7,7,"(24, 4)",shopping,1
39.0,8,8,"(22, 4)",shopping,1
39.0,9,9,"(20, 4)",shopping,1
39.0,10,10,"(18, 4)",shopping,1
39.0,11,11,"(17, 5)",shopping,2
39.0,12,12,"(11, 6)",dwelling,2
39.0,13,13,"(13, 3)",shopping,2
39.0,14,14,"(10, 6)",shopping,1
39.0,15,15,"(8, 6)",shopping,2
39.0,16,16,"(7, 5)",shopping,2
39.0,17,17,"(5, 3)",shopping,2
39.0,18,18,"(4, 4)",shopping,1
39.0,19,19,"(2, 4)",shopping,2
40.0,2,2,"(32, 6)",shopping,1
40.0,3,3,"(34, 3)",shopping,1
40.0,4,4,"(32, 3)",shopping,1
40.0,5,5,"(30, 3)",shopping,1
40.0,6,6,"(22, 6)",shopping,1
40.0,7,7,"(25, 4)",shopping,1
40.0,8,8,"(23, 4)",shopping,1
40.0,9,9,"(21, 4)",shopping,1
40.0,10,10,"(19, 4)",shopping,1
40.0,11,11,"(18, 5)",shopping,2
40.0,12,12,"(11, 6)",dwelling,2
40.0,13,13,"(14, 3)",shopping,2
40.0,14,14,"(10, 5)",shopping,1
40.0,15,15,"(9, 6)",shopping,2
40.0,16,16,"(8, 5)",shopping,2
40.0,17,17,"(6, 3)",shopping,2
40.0,18,18,"(5, 4)",shopping,1
40.0,19,19,"(3, 4)",shopping,2
40.0,20,20,"(1, 4)",shopping,2
41.0,2,2,"(33, 6)",shopping,1
41.0,3,3,"(35, 3)",shopping,1
41.0,4,4,"(33, 3)",shopping,1
41.0,5,5,"(31, 3)",shopping,1
41.0,6,6,"(23, 6)",shopping,1
41.0,7,7,"(26, 4)",shopping,1
41.0,8,8,"(24, 4)",shopping,1
41.0,9,9,"(22, 4)",shopping,1
41.0,10,10,"(20, 4)",shopping,1
41.0,11,11,"(19, 5)",shopping,2
41.0,12,12,"(11, 6)",shopping,1
41.0,13,13,"(15, 3)",shopping,2
41.0,14,14,"(11, 5)",shopping,1
41.0,15,15,"(10, 6)",shopping,2
41.0,16,16,"(9, 5)",shopping,2
41.0,17,17,"(7, 3)",shopping,2
41.0,18,18,"(5, 3)",shopping,1
41.0,19,19,"(3, 5)",shopping,2
41.0,20,20,"(2, 4)",shopping,2
42.0,2,2,"(34, 6)",shopping,1
42.0,3,3,"(36, 3)",shopping,1
42.0,4,4,"(34, 3)",shopping,1
42.0,5,5,"(32, 3)",shopping,1
42.0,6,6,"(24, 6)",shopping,1
42.0,7,7,"(27, 4)",shopping,1
42.0,8,8,"(25, 4)",shopping,1
42.0,9,9,"(23, 4)",shopping,1
42.0,10,10,"(21, 4)",shopping,1
42.0,11,11,"(20, 5)",shopping,2
42.0,12,12,"(12, 6)",shopping,1
42.0,13,13,"(16, 3)",shopping,2
42.0,14,14,"(12, 5)",shopping,1
42.0,15,15,"(11, 6)",shopping,2
42.0,16,16,"(9, 6)",shopping,2
42.0,17,17,"(7, 2)",shopping,2
42.0,18,18,"(6, 3)",shopping,1
42.0,19,19,"(4, 5)",shopping,2
42.0,20,20,"(3, 4)",shopping,2
42.0,21,21,"(1, 4)",shopping,2
43.0,2,2,"(35, 6)",shopping,1
43.0,3,3,"(37, 3)",shopping,1
43.0,4,4,"(35, 3)",shopping,1
43.0,5,5,"(33, 3)",shopping,1
43.0,6,6,"(25, 6)",shopping,1
43.0,7,7,"(28, 4)",shopping,1
43.0,8,8,"(26, 4)",shopping,1
43.0,9,9,"(24, 4)",shopping,1
43.0,10,10,"(22, 4)",shopping,1
43.0,11,11,"(21, 5)",shopping,2
43.0,12,12,"(13, 6)",shopping,1
43.0,13,13,"(16, 4)",shopping,2
43.0,14,14,"(13, 5)",shopping,1
43.0,15,15,"(11, 5)",shopping,2
43.0,16,16,"(10, 6)",shopping,2
43.0,17,17,"(8, 2)",shopping,2
43.0,18,18,"(7, 3)",shopping,1
43.0,19,19,"(5, 5)",shopping,2
43.0,20,20,"(4, 4)",shopping,2
43.0,21,21,"(2, 4)",shopping,2
44.0,2,2,"(36, 6)",shopping,1
44.0,3,3,"(38, 3)",shopping,1
44.0,4,4,"(36, 3)",shopping,1
44.0,5,5,"(33, 2)",shopping,1
44.0,6,6,"(26, 6)",shopping,1
44.0,7,7,"(29, 4)",shopping,1
44.0,8,8,"(27, 4)",shopping,1
44.0,9,9,"(25, 4)",shopping,1
44.0,10,10,"(23, 4)",shopping,1
44.0,11,11,"(21, 6)",shopping,2
44.0,12,12,"(14, 6)",shopping,1
44.0,13,13,"(17, 4)",shopping,2
44.0,14,14,"(14, 5)",shopping,1
44.0,15,15,"(11, 4)",shopping,2
44.0,16,16,"(11, 6)",shopping,2
44.0,17,17,"(9, 2)",shopping,2
44.0,18,18,"(8, 3)",shopping,1
44.0,19,19,"(6, 5)",shopping,2
44.0,20,20,"(5, 4)",shopping,2
44.0,21,21,"(3, 4)",shopping,2
44.0,22,22,"(1, 4)",shopping,2
45.0,2,2,"(37, 6)",shopping,1
45.0,3,3,"(39, 3)",shopping,1
45.0,4,4,"(37, 3)",shopping,1
45.0,5,5,"(33, 1)",shopping,1
45.0,6,6,"(27, 6)",shopping,1
45.0,7,7,"(29, 5)",shopping,1
45.0,8,8,"(27, 3)",shopping,1
45.0,9,9,"(26, 4)",shopping,1
45.0,10,10,"(24, 4)",shopping,1
45.0,11,11,"(22, 6)",shopping,2
45.0,12,12,"(15, 6)",shopping,1
45.0,13,13,"(18, 4)",shopping,2
45.0,14,14,"(15, 5)",shopping,1
45.0,15,15,"(12, 4)",shopping,2
45.0,16,16,"(12, 6)",shopping,2
45.0,17,17,"(9, 3)",shopping,2
45.0,18,18,"(8, 4)",shopping,1
45.0,19,19,"(6, 4)",shopping,2
45.0,20,20,"(5, 5)",shopping,2
45.0,21,21,"(3, 3)",shopping,2
45.0,22,22,"(2, 4)",shopping,2
46.0,2,2,"(38, 6)",shopping,1
46.0,3,3,"(39, 2)",shopping,1
46.0,4,4,"(38, 3)",shopping,1
46.0,5,5,"(33, 1)",dwelling,1
46.0,6,6,"(28, 6)",shopping,1
46.0,7,7,"(29, 6)",shopping,1
46.0,8,8,"(27, 3)",dwelling,1
46.0,9,9,"(27, 4)",shopping,1
46.0,10,10,"(25, 4)",shopping,1
46.0,11,11,"(23, 6)",shopping,2
46.0,12,12,"(16, 6)",shopping,1
46.0,13,13,"(19, 4)",shopping,2
46.0,14,14,"(16, 5)",shopping,1
46.0,15,15,"(13, 4)",shopping,2
46.0,16,16,"(13, 6)",shopping,2
46.0,17,17,"(10, 3)",shopping,2
46.0,18,18,"(9, 4)",shopping,1
46.0,19,19,"(7, 4)",shopping,2
46.0,20,20,"(6, 5)",shopping,2
46.0,21,21,"(4, 3)",shopping,2
46.0,22,22,"(3, 4)",shopping,2
46.0,23,23,"(1, 4)",shopping,1
47.0,2,2,"(39, 6)",shopping,1
47.0,3,3,"(39, 1)",shopping,1
47.0,4,4,"(39, 3)",shopping,1
47.0,5,5,"(33, 1)",dwelling,1
47.0,6,6,"(28, 5)",shopping,1
47.0,7,7,"(29, 6)",dwelling,1
47.0,8,8,"(27, 3)",dwelling,1
47.0,9,9,"(27, 4)",shopping,1
47.0,10,10,"(26, 4)",shopping,1
47.0,11,11,"(24, 6)",shopping,2
47.0,12,12,"(17, 6)",shopping,1
47.0,13,13,"(20, 4)",shopping,2
47.0,14,14,"(17, 5)",shopping,1
47.0,15,15,"(14, 4)",shopping,2
47.0,16,16,"(14, 6)",shopping,2
47.0,17,17,"(11, 3)",shopping,2
47.0,18,18,"(10, 4)",shopping,1
47.0,19,19,"(8, 4)",shopping,2
47.0,20,20,"(7, 5)",shopping,2
47.0,21,21,"(5, 3)",shopping,2
47.0,22,22,"(4, 4)",shopping,2
47.0,23,23,"(2, 4)",shopping,1
48.0,2,2,"(39, 5)",shopping,1
48.0,3,3,"(39, 1)",dwelling,1
48.0,4,4,"(40, 3)",shopping,1
48.0,5,5,"(33, 1)",shopping,0
48.0,6,6,"(29, 5)",shopping,1
48.0,7,7,"(29, 6)",dwelling,1
48.0,8,8,"(27, 3)",shopping,0
48.0,9,9,"(27, 4)",shopping,1
48.0,10,10,"(26, 4)",shopping,1
48.0,11,11,"(25, 6)",shopping,2
48.0,12,12,"(18, 6)",shopping,1
48.0,13,13,"(21, 4)",shopping,2
48.0,14,14,"(18, 5)",shopping,1
48.0,15,15,"(15, 4)",shopping,2
48.0,16,16,"(14, 5)",shopping,2
48.0,17,17,"(12, 3)",shopping,2
48.0,18,18,"(11, 4)",shopping,1
48.0,19,19,"(9, 4)",shopping,2
48.0,20,20,"(8, 5)",shopping,2
48.0,21,21,"(6, 3)",shopping,2
48.0,22,22,"(5, 4)",shopping,2
48.0,23,23,"(2, 5)",shopping,1
48.0,24,24,"(1, 4)",shopping,1
49.0,2,2,"(39, 4)",shopping,1
49.0,3,3,"(39, 1)",dwelling,1
49.0,4,4,"(41, 3)",shopping,1
49.0,5,5,"(33, 1)",exiting,0
49.0,6,6,"(30, 5)",shopping,1
49.0,7,7,"(29, 6)",shopping,0
49.0,8,8,"(27, 3)",exiting,0
49.0,9,9,"(27, 4)",shopping,1
49.0,10,10,"(26, 4)",shopping,1
49.0,11,11,"(26, 6)",shopping,2
49.0,12,12,"(19, 6)",shopping,1
49.0,13,13,"(22, 4)",shopping,2
49.0,14,14,"(19, 5)",shopping,1
49.0,15,15,"(16, 4)",shopping,2
49.0,16,16,"(15, 5)",shopping,2
49.0,17,17,"(13, 3)",shopping,2
49.0,18,18,"(11, 3)",shopping,1
49.0,19,19,"(10, 4)",shopping,2
49.0,20,20,"(9, 5)",shopping,2
49.0,21,21,"(6, 4)",shopping,2
49.0,22,22,"(5, 3)",shopping,2
